Model,AUC-ROC,KS-Statistic,Precision (Default),Recall (Default),F1-Score
Logistic Regression,0.7028295957330252,0.2957023435408719,0.3320875862322481,0.6253345639132442,0.4338020504037583
Decision Tree,0.6854511134460244,0.27491490200651403,0.3186917019987886,0.6070143054914628,0.41795218047501786
XGBoost,0.7116635695195943,0.30727805382094664,0.32615343851088024,0.6816335948315644,0.44119865289694365
